year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,n_qual,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos
1938,318,"Acocks, J.P.H.",63,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.79,0,-0.6,-26.1,1.4,43,30.9,-6.9435
1976,319,"Du Toit, P.C.V.",1764,Poaceae,Pentameris pallida,PP,3319CB,-33.625,19.375,C3,1.611,0,NA,-27.5,0.5,47.7,90.6,-7.4425
1949,320,van Breda,341,Poaceae,Pentameris pallida,PP,3319CB,-33.625,19.375,C3,1.785,1,NA,-27.8,1.6,47.9,29.3,-7.03233859
1972,321,"Ellis, R.P.",1258,Poaceae,Pentameris pallida,PP,3319CB,-33.625,19.375,C3,1.795,2,4.2,-28,1.9,47,25.1,-7.356
1971,322,Stephen; Oakes,217; 1503,Poaceae,Digitaria eriantha,DE,2231CA,22.4156,-22.4156,C4,1.74,0,NA,-11.1,0.9,46.1,49,-7.3475
2005,323,"Morrison, E; Klasen, M",4,Poaceae,Digitaria eriantha,DE,2231CA,22.4227,-22.4227,C4,1.718,2,6.8,-13.6,2.1,47.3,22.5,-8.206351483
1971,324,Stephen; Oakes,204; 1464,Poaceae,Digitaria eriantha,DE,2231CA,22.4413,-22.4413,C4,1.723,0,NA,-11.3,0.9,45.7,49,-7.3475
2005,325,"Hauser, JR; Vaughan, AK",s.n.,Poaceae,Digitaria eriantha,DE,2231CA,22.4129,-22.4129,C4,1.694,0,NA,-13,1.5,45.8,30.6,-8.206351483
2007,326,"Bouchenak-Khelladi, Y",YBK 235,Poaceae,Digitaria eriantha,DE,2331DC,23.5233,-23.5233,C4,1.828,2,1.3,-13.1,1.8,41.8,23.5,-8.26651815
1971,327,Stephen; Oakes,188; 1436,Poaceae,Digitaria eriantha,DE,2331DC,23.473,-23.473,C4,1.785,2,1.4,-11.2,1.9,45.6,24.4,-7.3475
1971,328,Stephen; Oakes,172;1415,Poaceae,Digitaria eriantha,DE,2431DC,24.544,-24.544,C4,1.925,2,4.3,-10.4,2.2,46.2,21,-7.3475
1977,329,"Nel, PJ",s.n.,Poaceae,Digitaria eriantha,DE,2431DC,24.5722,-24.5722,C4,1.766,2,5.6,-11.6,2.1,44.3,21,-7.4844
2005,330,"Policzer, JT",10,Poaceae,Digitaria eriantha,DE,2431DC,24.594,-24.594,C4,1.727,0,NA,-13.5,0.5,40.1,78.9,-8.206351483
2003,331,"Pettit, N",61,Poaceae,Digitaria eriantha,DE,2431DC,24.5753,-24.5753,C4,1.63,1,NA,-14.2,1.8,45.9,25.7,-8.15301815
1971,332,Stephen; Oakes,154;1394,Poaceae,Digitaria eriantha,DE,2531BB,25.0709,-25.0709,C4,1.826,2,4.8,-11,2.6,45.5,17.3,-7.3475
2007,333,"Bouchenak-Khelladi, Y",YBK 133,Poaceae,Digitaria eriantha,DE,2531BB,25.1134,-25.1134,C4,1.724,2,2.7,-13.5,2.4,47.4,19.4,-8.26651815
2007,334,"Bouchenak-Khelladi, Y",YBK 163,Poaceae,Digitaria eriantha,DE,2531BB,25.1241,-25.1241,C4,1.861,2,0.6,-12.5,2.8,43.4,15.3,-8.26651815
1952,335,"van der Schijff, HP",224,Poaceae,Digitaria eriantha,DE,2531AB,25.1,-25.1,C4,1.901,2,3.2,-10.2,2.4,40.4,17,-6.996541783
1953,336,"van der Schijff, HP",1652,Poaceae,Digitaria eriantha,DE,2531AB,25.1244,-25.1244,C4,1.793,0,NA,-10.1,1.5,46.3,31.6,-7.010270232
1953,337,"van der Schijff, HP",1511,Poaceae,Digitaria eriantha,DE,2531AB,25.1,-25.1,C4,1.821,0,NA,-10,1.5,44.2,30.4,-7.010270232
1966,338,"van Wyk, P",4655,Poaceae,Digitaria eriantha,DE,2531AB,25.0923,-25.0923,C4,1.833,2,2.9,-11.1,1.9,45.8,24.1,-7.235
1954,339,"van der Schijff, HP",3395,Poaceae,Digitaria eriantha,DE,2531AB,25.1244,-25.1244,C4,1.791,2,0.2,-11.2,1.9,45.9,23.9,-7.02960461
1952,340,"van der Schijff, HP",217,Poaceae,Digitaria eriantha,DE,2531AB,25.1,-25.1,C4,1.892,2,3.9,-9.9,1.9,45,24,-6.996541783
1952,341,"van der Schijff, HP",216,Poaceae,Digitaria eriantha,DE,2531AB,25.1,-25.1,C4,1.754,2,2.5,-10.1,2.1,43.3,20.4,-6.996541783
1953,342,"van der Schijff, HP",1642,Poaceae,Digitaria eriantha,DE,2531AB,25.1244,-25.1244,C4,1.645,0,2.7,-10.1,1.4,42.9,30.2,-7.010270232
1966,343,"van Wyk, P",4656,Poaceae,Digitaria eriantha,DE,2531AB,25.0923,-25.0923,C4,1.78,0,NA,-10.9,1.4,46.6,33.1,-7.235
1966,344,"van Wyk, P",4686,Poaceae,Digitaria eriantha,DE,2531AB,25.0923,-25.0923,C4,1.767,2,1.4,-9.7,2.1,45.9,22.3,-7.235
1953,345,"van der Schijff, HP",1668,Poaceae,Digitaria eriantha,DE,2531AB,25.1244,-25.1244,C4,1.672,0,NA,-9,1.4,44.4,32.2,-7.010270232
1953,346,"van der Schijff, HP",2096,Poaceae,Digitaria eriantha,DE,2531AB,25.0628,-25.0628,C4,1.835,2,3.6,-9.3,1.9,46.2,24.5,-7.010270232
1953,347,"van der Schijff, HP",1640,Poaceae,Digitaria eriantha,DE,2531AB,25.1,-25.1,C4,1.86,2,3.1,-9.8,2.1,46.5,21.8,-7.010270232
1952,348,"van der Schijff, HP",376,Poaceae,Digitaria eriantha,DE,2531AB,25.1244,-25.1244,C4,1.804,0,NA,-10.7,1.5,46.4,31.3,-6.996541783
