year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,n_qual,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos
1976,63,"Du Toit, PCV",1522,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.953,2,4.4,-29.2,1.8,41.6,23.3,-7.4425
1915,64,"Bolus, H.M.L.",14741,Poaceae,Pentameris pallida,PP,3318CD,-33.98333333,18.41666667,C3,1.794,2,0.5,-28.2,1.4,44.2,32.7,-6.878861797
1936,65,"Adamson, R.S.",811,Poaceae,Koeleria capensis,KC,3318CD,-33.875,18.375,C3,1.714,2,2.7,-26.1,1.9,45.7,24.2,-6.939
1953,66,"Esterhuysen, E.E.",22181,Poaceae,Pentameris pallida,PP,3318CD,-33.95,18.41666667,C3,1.872,1,3.8,-27.4,0.9,44.2,48.8,-7.010270232
1929,67,"Sandwith, C.",10,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.968,2,1.9,-11.1,1.2,43.5,34.8,-6.841285714
1973,68,"Esterhuysen, E.E.",33325,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.95,2,2,-28.6,1,41.8,43.1,-7.39275
1986,69,"Spies, J.J.",3239,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.819,2,0.4,-29.3,1.1,42.3,37.5,-7.734
1913,70,"Bolus, F.",14680,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.924,2,4.4,-27.3,2.1,43.2,20.5,-6.867
1892,71,"Schlechter, F.R.R.",847,Poaceae,Pentameris pallida,PP,3318CD,-33.95,18.46666667,C3,1.178,0,2.8,-27.2,0.9,43.6,46.8,-6.830153626
1978,72,"Durand, B.J.",343,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.759,2,1.4,-28.2,2.1,45.3,21.9,-7.502
1896,73,"Wolley-Dod, A.H.",1821,Poaceae,Pentameris pallida,PP,3318CD,-33.98333333,18.45,C3,1.931,2,0.9,-29.6,2.9,44.1,15.4,-6.857648154
1827,74,Ecklon,87,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.576,1,3.6,-10.6,1.1,44.3,40.1,-6.635253729
1919,75,"Andreae, H.",86,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.58,2,0.5,-29,1.4,42.6,30.2,-6.94453502
1936,76,"Adamson, R.S.",781,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.89,2,3,-10.7,1.5,45.2,29.5,-6.939
1976,77,"Du Toit, P.C.V.",1502,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.725,0,1.9,-28.8,0.7,42.6,57,-7.4425
1974,78,"Ellis, R.P.",2306,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.764,2,1.9,-30.7,1.5,52,33.6,-7.483
1952,79,"Fairall, A.R.",248,Poaceae,Pentameris pallida,PP,3318CD,-33.98333333,18.41666667,C3,1.657,2,-0.2,-30,1.3,45.2,33.7,-6.996541783
1929,80,"Sandwith, C.",88,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.617,0,-0.6,-11.4,0.9,43.1,49.8,-6.841285714
1951,81,"Garside, S.",25439,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.576,0,0.9,-29.2,0.7,43.7,62.8,-6.993443595
1963,82,"Esterhuysen, E.E.",30036,Poaceae,Pentameris pallida,PP,3318CD,-33.995,18.41666667,C3,1.532,2,2.2,-30.5,1.3,43.8,34.4,-7.055
1987,83,"Spies, J.J.",3652,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.65,0,0.9,-29.9,1.1,43.3,38.9,-7.7495
1976,85,"Du Toit, P.C.V.",1508,Poaceae,Pentameris pallida,PP,3318CD,-33.91944444,18.39861111,C3,1.572,2,0.8,-29.8,1.1,44.5,40.9,-7.4425
1976,86,"Du Toit, PCV",1524,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.64,0,3,-28.4,2.1,42.1,20.1,-7.4425
1830,87,"Ecklon, C.F.",84,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.606,2,9.1,-28.9,1.3,43,32.6,-6.64453767
1954,88,"Esterhuysen, E.E.",22651,Poaceae,Pentameris pallida,PP,3318CD,-33.95,18.4,C3,1.802,2,-0.9,-27.4,1.3,45.3,34.6,-7.02960461
1976,89,"Du Toit, P.C.V.",1519,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.814,2,1,-12.3,1.3,44.3,35.2,-7.4425
1958,90,"Esterhuysen, E.E.",27950,Poaceae,Pentameris pallida,PP,3318CD,-33.95,18.4,C3,1.901,0,2.9,-27.4,0.7,44.1,65.4,-7.066575548
1986,91,"Spies, J.J.",3239,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.857,2,3.2,-29.7,1.2,41.2,33.8,-7.734
1929,92,"Hitchcock, A.S.",24082,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.76,0,5.2,-10.9,0.9,44.8,47.2,-6.841285714
1935,93,"Esterhuysen, E.E.",598,Poaceae,Pentameris pallida,PP,3318CD,-33.96666667,18.41666667,C3,1.871,0,2.4,-28.5,1,41.9,42.3,-6.976
1922,94,"Pole-Evans, I.B.",489,Poaceae,Koeleria capensis,KC,3318CD,-33.875,18.375,C3,1.797,2,2.6,-28.2,1.5,43.4,29.7,-6.857960447
1929,95,"Sandwith, C.",130,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.828,0,-0.4,-11.3,0.3,41.3,123,-6.841285714
1830,96,"Ecklon, C.F.",24964,Poaceae,Koeleria capensis,KC,3318CD,-33.875,18.375,C3,1.653,0,NA,-25.3,1.7,48.7,29.3,-6.64453767
1939,97,"Adamson, R.S.",2684,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.717,2,2.5,-26.9,1.1,42.5,37.8,-6.994
1974,98,"Ellis, R.P.",2316,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.945,2,1.8,-30.3,2.9,44.6,15.5,-7.483
1987,99,"Spies, J.J.",3433,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.673,2,1.9,-29.9,1.2,42.1,35.4,-7.7495
1942,100,"Adamson, R.S.",3451,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.927,2,5.4,-30.1,1.4,41.7,28.9,-7.065637441
1987,101,"Spies, J.J.",3439,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.754,2,1.5,-30.6,1.6,43.8,27,-7.7495
1983,102,"O'Callaghan, M.G.",696,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.654,0,2.3,-29.6,0.6,42.3,73.8,-7.65725
1974,103,"Goldblatt, P.",3321,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.448,2,4.7,-31.2,3.3,45.5,14,-7.483
1988,104,"Spies, J.J.",3911,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.651,2,7,-31,1.4,43.7,30.9,-7.804333333
1918,105,"Bolus, H.M.L.",PRE 34739,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.812,2,1.9,-28.3,1.5,44.6,29.6,-6.938044526
1946,106,"Adamson, R.S.",3718,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.758,2,1.5,-29.6,2,43.3,21.9,-6.983
1974,107,"Ellis, R.P.",2312,Poaceae,Pentameris pallida,PP,3418AB,-34.125,18.375,C3,1.943,0,1.1,-28.1,0.9,42.9,48.3,-7.483
1970,108,"Ellis, R.P.",158,Poaceae,Hyparrhenia hirta,HH,2528CB,-25.625,28.375,C4,1.955,0,4.1,-10.8,0.6,42.9,77.4,-7.318156423
1983,109,"Smook, L.",4795,Poaceae,Hyparrhenia hirta,HH,2528CB,-25.625,28.375,C4,1.876,2,4.3,-11.1,1.5,43.3,28.3,-7.65725
1972,110,"Ellis, R.P.",1122,Poaceae,Digitaria eriantha,DE,2528CB,-25.625,28.375,C4,1.869,0,3,-10.9,0.9,42.9,45.7,-7.356
1973,111,"Ellis, R.P.",1778,Poaceae,Digitaria eriantha,DE,2528CB,-25.625,28.375,C4,1.777,2,3.8,-11.9,1.1,41.4,36.2,-7.39275
1979,112,"van Rooyen, N.",2529,Poaceae,Digitaria eriantha,DE,2528CB,-25.625,28.375,C4,1.762,0,3,-11.9,0.5,45.2,91.1,-7.539666667
1980,113,"Balsinhas, A.A.",3463,Poaceae,Hyparrhenia hirta,HH,2528CB,-25.625,28.375,C4,1.838,2,7.3,-11.7,2,42.1,21.6,-7.5705
2004,114,"Smook, L.",11433,Poaceae,Digitaria eriantha,DE,2528CB,-25.73861111,28.27944444,C4,1.732,2,1.9,-12.5,1.4,42.7,30.2,-8.176351483
1930,116,"Goossens, A.P.G.",128,Poaceae,Hyparrhenia hirta,HH,2528CB,-25.625,28.375,C4,1.671,0,4.7,-10.7,1,42.3,43.2,-6.933243381
1975,117,"Du Toit, P.C.V.",715,Poaceae,Hyparrhenia hirta,HH,2528CB,-25.625,28.375,C4,1.896,2,4.3,-11.4,1.2,43.5,36,-7.417666667
1986,118,"Joffe, H.",5,Poaceae,Hyparrhenia hirta,HH,2528CB,-25.625,28.375,C4,1.694,0,-0.5,-14.1,0.8,43.9,51.7,-7.734
1975,119,"Du Toit, P.C.V.",717,Poaceae,Hyparrhenia hirta,HH,2528CB,-25.625,28.375,C4,1.741,0,-1.5,-11.7,0.9,41.5,48.5,-7.417666667
1997,120,"Reddy, R.A.",1011,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.611,2,1.5,-12.2,1.6,43.1,27.1,-8.00226815
1998,121,"Reddy, R.A.",1062,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.607,0,0.2,-12.3,0.9,43.7,47.8,-8.051092408
1998,122,"Reddy, R.A.",1085,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.834,2,-7.9,-13.2,1.1,42.6,37.3,-8.051092408
1997,123,"Reddy, R.A.",155,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.68,0,2.7,-12.2,0.5,44.5,91.7,-8.00226815
1998,124,"Reddy, R.A.",1475,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.656,2,1,-13.5,1.5,41.8,27,-8.051092408
1998,125,"Reddy, R.A.",1094,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.836,2,-1.6,-12.2,1.1,45.1,39.9,-8.051092408
1984,126,"Robinson, E.R.",10,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.625,2,4,-11.4,1.4,41.5,29.8,-7.6955
1969,127,"Mogg, A.O.D.",34154,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.658,0,1.9,-12,0.3,45.4,129.8,-7.305
1937,128,"Cohen, E.",671,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.681,0,1.7,-10.6,1,42.2,42.6,-6.95
